Date,AAPL,MSFT,GOOGL,AMZN,PLTR,BA,TSLA,GME,ADBE,HD
2015-01-02 00:00:00+00:00,24.34717559814453,40.152488708496094,26.412099838256836,15.425999641418457,,113.65721130371094,14.620667457580566,6.288958549499512,72.33999633789062,81.89395904541016
2015-01-05 00:00:00+00:00,23.661272048950195,39.78324890136719,25.908843994140625,15.10949993133545,,112.87007141113281,14.005999565124512,6.460136890411377,71.9800033569336,80.17581176757812
2015-01-06 00:00:00+00:00,23.663497924804688,39.199337005615234,25.26943016052246,14.76449966430664,,111.54063415527344,14.085332870483398,6.268491744995117,70.52999877929688,79.93034362792969
2015-01-07 00:00:00+00:00,23.995309829711914,39.69737243652344,25.195112228393555,14.920999526977539,,113.27237701416016,14.063332557678223,6.195926189422607,71.11000061035156,82.66990661621094
2015-01-08 00:00:00+00:00,24.91726303100586,40.865196228027344,25.28289794921875,15.02299976348877,,115.27528381347656,14.041333198547363,6.268491744995117,72.91999816894531,84.49891662597656
2015-01-09 00:00:00+00:00,24.943992614746094,40.52172088623047,24.974159240722656,14.846500396728516,,115.04785919189453,13.77733325958252,6.0042805671691895,71.83999633789062,83.04996490478516
2015-01-12 00:00:00+00:00,24.32935905456543,40.01508712768555,24.79161262512207,14.570500373840332,,114.46185302734375,13.480667114257812,6.283377170562744,71.12000274658203,82.67780303955078
2015-01-13 00:00:00+00:00,24.545372009277344,39.80900192260742,25.028026580810547,14.737000465393066,,114.72425842285156,13.616666793823242,6.097312927246094,70.58999633789062,82.13148498535156
2015-01-14 00:00:00+00:00,24.45183753967285,39.46553039550781,25.23401641845703,14.66349983215332,,114.03330993652344,12.845999717712402,6.737372398376465,69.98999786376953,81.2684555053711
2015-01-15 00:00:00+00:00,23.788206100463867,39.0533561706543,25.138254165649414,14.34749984741211,,113.82337951660156,12.791333198547363,6.411761283874512,70.29000091552734,79.97785186767578
2015-01-16 00:00:00+00:00,23.603370666503906,39.705963134765625,25.459957122802734,14.536999702453613,,114.38317108154297,12.871333122253418,6.763421058654785,71.7300033569336,82.44027709960938
2015-01-20 00:00:00+00:00,24.211332321166992,39.83477020263672,25.43402099609375,14.472000122070312,,114.7679672241211,12.795332908630371,6.71132230758667,71.48999786376953,81.75146484375
2015-01-21 00:00:00+00:00,24.396163940429688,39.431190490722656,25.955230712890625,14.862500190734863,,115.80877685546875,13.104666709899902,6.854592800140381,71.54000091552734,81.97312927246094
2015-01-22 00:00:00+00:00,25.03084373474121,40.47020721435547,26.798641204833984,15.515999794006348,,118.63384246826172,13.441332817077637,6.9066901206970215,73.4800033569336,83.98426818847656
2015-01-23 00:00:00+00:00,25.16000747680664,40.51313781738281,27.030569076538086,15.619500160217285,,117.7417221069336,13.419333457946777,6.95878791809082,74.05999755859375,83.43001556396484
2015-01-26 00:00:00+00:00,25.18672752380371,40.367149353027344,26.76971435546875,15.482999801635742,,117.26066589355469,13.770000457763672,7.100196838378906,72.73999786376953,84.2138900756836
2015-01-27 00:00:00+00:00,24.30486297607422,36.631839752197266,25.99513053894043,15.337499618530273,,115.8700180053711,13.732000350952148,7.122524738311768,71.45999908447266,83.26374053955078
2015-01-28 00:00:00+00:00,25.678884506225586,35.36956024169922,25.55821418762207,15.195500373840332,,122.13230895996094,13.291333198547363,6.997861385345459,70.25,82.93118286132812
2015-01-29 00:00:00+00:00,26.478349685668945,36.073707580566406,25.598115921020508,15.58899974822998,,129.25169372558594,13.680000305175781,6.748534679412842,71.63999938964844,85.2115249633789
2015-01-30 00:00:00+00:00,26.090871810913086,34.69120407104492,26.811111450195312,17.726499557495117,,127.14389038085938,13.573332786560059,6.558751106262207,70.12999725341797,82.67780303955078
2015-02-02 00:00:00+00:00,26.41822624206543,35.44684600830078,26.544273376464844,18.223499298095703,,127.92230224609375,14.062666893005371,6.8527326583862305,71.11000061035156,82.68575286865234
2015-02-03 00:00:00+00:00,26.422685623168945,35.72162628173828,26.599138259887695,18.177499771118164,,128.8668975830078,14.557332992553711,6.977394104003906,71.91999816894531,84.91065216064453
2015-02-04 00:00:00+00:00,26.62533950805664,35.927703857421875,26.240026473999023,18.237499237060547,,128.76194763183594,14.569999694824219,6.815520286560059,72.27999877929688,85.8370132446289
2015-02-05 00:00:00+00:00,26.815372467041016,36.451515197753906,26.42606544494629,18.694499969482422,,129.9689483642578,14.732666969299316,6.828544616699219,73.0999984741211,86.29627990722656
2015-02-06 00:00:00+00:00,26.58955955505371,36.41716766357422,26.62806510925293,18.714000701904297,,129.4441680908203,14.490667343139648,6.8397064208984375,72.54000091552734,86.33584594726562
2015-02-09 00:00:00+00:00,26.766193389892578,36.374237060546875,26.398632049560547,18.527999877929688,,129.07681274414062,14.498666763305664,6.9178547859191895,72.33000183105469,85.78160858154297
2015-02-10 00:00:00+00:00,27.28040313720703,36.580318450927734,26.941287994384766,18.649999618530273,,129.4791259765625,14.419333457946777,7.077868461608887,72.76000213623047,87.62646484375
2015-02-11 00:00:00+00:00,27.91982650756836,36.39140319824219,26.833555221557617,18.756999969482422,,130.1743621826172,14.186667442321777,6.981115341186523,73.01000213623047,87.3414306640625
2015-02-12 00:00:00+00:00,28.273069381713867,37.00107192993164,27.233068466186523,18.85849952697754,,130.32395935058594,13.525333404541016,6.930877685546875,74.58999633789062,88.80621337890625
2015-02-13 00:00:00+00:00,28.411685943603516,37.670860290527344,27.489931106567383,19.09149932861328,,131.7672119140625,13.584667205810547,6.9494853019714355,76.51000213623047,88.59242248535156
